अ a
कह्लार kahlAr
क़ढाई कaढAI
क़तल कatal
क़तलबाज कatlabAj
क़तार कatAr
क़त्ल क़atl
क़दम क़adam
क़दम कadam
क़दर क़adar
क़दर कadar
क़बाला कabAlA
क़बूलनामा क़abUlnAmA
क़बूलनामे क़abUlnAmE
क़ब्जा़ कabjAY
क़ब्र कabr
क़ब्रिस्तान कabristAn
क़ब्रीस्थान कabrIsथAn
क़यामत क़ayAmat
क़यामत कayAmat
क़र क़ar
क़रना कarnA
क़रारनामा कarArnAmA
क़रीब क़arIb
क़रीब कarIb
क़रीबी क़arIbI
क़लई कalaI
क़लम क़alam
क़सम कasam
क़स्बाई क़asbAI
क़स्बे क़asbE
क़स्बों क़asboq
क़हक़हा कahaकhA
क़हर क़ahar
क़ा कA
क़ानून क़AnUn
क़ानून कAnUn
क़ानूनी क़AnUnI
क़ानूनी कAnUnI
क़ाबिलियत क़Abiliyat
क़ाबू कAbU
क़ायदे क़AydE
क़ायम क़Ayam
क़ायम कAyam
क़ारखाना कArखAnA
क़ाहिरा क़AhirA
क़िताब क़itAb
क़िमत कimat
क़िशोरिया क़iशoriyA
क़िश्त कiशt
क़िस्म क़ism
क़िस्म कism
क़िस्मत कismat
क़िस्सा क़issA
क़ीमत क़Imat
क़ीमत कImat
क़ीमती कImtI
क़ीमत् कImat
क़ीमा कImA
क़ुदरत क़udrat
क़ुदरती क़udartI
क़ुव्वत क़uwwat
क़ैद क़ऐd
क़ैद कऐd
क़ैदएना कऐdaEnA
क़ैदियों कऐdiyoq
क़ोई क़oI
क़ौम क़औm
क़ौम कऔm
का kA
का kA
का_वंशज_होना kAywaqशajayhonA
काँ kAM
काँई kAMI
काँक kAMk
काँकड़ा kAMkDA
काँकर kAMkar
काँकरी kAMkrI
काँकरेच kAMkrEc
काँकुनी kAMkunI
काँक्षी kAMkषI
काँख kAMख
काँखना kAMखnA
काँखसोती kAMखsotI
काँगड़ा kAMgDA
काँगड़ी kAMgDI
काँगनी kAMgnI
काँगरू kAMgrU
काँच kAMc
काँचकर्मी kAMckarmI
काँचकृत kAMckRt
काँचपट्टिका kAMcpaटटikA
काँचमय kAMcmaya
काँचा kAMcA
काँचुअ kAMcua
काँचुरी kAMcurI
काँचू kAMcU
काँछना kAMCnA
काँछा kAMCA
काँजी kAMjI
काँजीहाउस kAMjIhAus
काँट kAMट
काँटन kAMटan
काँटा kAMटA
काँटी kAMटI
काँटे kAMटE
काँटेदार kAMटEdAr
काँटों kAMटoq
काँठा kAMठA
काँड़ी kAMDI
काँत kAMt
काँती kAMtI
काँदना kAMdnA
काँदला kAMdlA
काँदव kAMdwa
काँदा kAMdA
काँदू kAMdU
काँदो kAMdo
काँदों kAMdoq
काँधना kAMधnA
काँधर kAMधar
काँधा kAMधA
काँधी kAMधI
काँन kAMn
काँप kAMp
काँपता kAMptA
काँपता kAMptA
काँपते kAMptE
काँपना kAMpnA
काँपने kAMpnE
काँपा kAMpA
काँब kAMb
काँय kAMya
काँयल kAMyal
काँव kAMwa
काँवर kAMwar
काँवरा kAMwrA
काँवरिया kAMwriyA
काँवरू kAMwrU
काँवारथी kAMwArथI
काँस kAMs
काँसा kAMsA
काँसागर kAMsAgar
काँसार kAMsAr
काँसी kAMsI
काँसुला kAMsulA
काँस्य kAMsya
कांकायन kAqkAyan
कांक्ष kAqkष
कांक्षा kAqkषA
कांक्षित kAqkषit
कांख kAqख
कांखी kAqखI
कांगल kAqgal
कांगही kAqgahI
कांगुरा kAqgurA
कांग्रेस kAqgrEs
कांग्रेस kAqgrEs
कांग्रेसी kAqgrEsI
कांच kAqc
कांच kAqc
कांचन kAqcan
कांचनक kAqcanak
कांचनचंगा kAqcancaqgA
कांचनाद्रि kAqcanAdri
कांचनार kAqcanAr
कांचनी kAqcanI
कांचनीय kAqcanIya
कांची kAqcI
कांजिक kAqjik
कांजीहाउस kAqjIhAus
कांटा kAqटA
कांटा kAqटA
कांटे kAqटE
कांटेक्ट kAqटEkट
कांटेदार kAqटEdAr
कांटो kAqटo
कांट्रास्ट kAqटrAsट
कांठली kAqठalI
कांड kAqड
कांडक kAqडak
कांडधार kAqडaधAr
कांडर्षि kAqडarषi
कांडवान् kAqडawAn
कांडवेल kAqडawEl
कांड़ना kAqDanA
कांड़ा kAqDA
कांडा kAqडA
कांडाग्नि kAqडAgni
कांडाम kAqडAm
कांडिका kAqडikA
कांत kAqt
कांतत्रिक kAqtatrik
कांता kAqtA
कांतार kAqtAr
कांतारक kAqtArak
कांतासक्ति kAqtAsakti
कांति kAqti
कांति kAqti
कांतिकर kAqtikar
कांतिभृत् kAqtiBRt
कांतिमय kAqtimya
कांतिमान kAqtimAn
कांतिमान् kAqtimAn
कांतियों kAqtiyoq
कांतिवर्धक kAqtiwarधak
कांतिसुर kAqtisur
कांतिहीन kAqtihIn
कांथरि kAqथari
कांदन kAqdan
कांदव kAqdawa
कांदविक kAqdawik
कांदा kAqdA
कांध kAqध
कांधी kAqधI
कांप kAqp
कांपती kAqpatI
कांपना kAqpanA
कांपने kAqpanE
कांपनेवाला kAqpanEwAlA
कांपिल kAqpil
कांपिल्य kAqpilya
कांबोज kAqboj
कांमर kAqmar
कांवरिये kAqwariyE
कांशी kAqशI
कांसा kAqsA
कांसे kAqsE
कांस्य kAqsya
कांस्य kAqsya
कांस्यक kAqsyak
कांस्यकार kAqsyakAr
कां़टा kAqYटA
कांफ़्रेन्स kAqfrEns
काइ kAi
काइच kAic
काइज़र kAizar
काइयाँ kAiyAM
काइरिप्रैक्टिक kAiriprऐkटik
काई kAI
काई kAI
काईदार kAIdAr
काउ kAu
काउंट kAuqट
काउंटर kAuqटar
काउंटर kAuqटar
काउंटरफॉइल kAuqटaraPऑil
काउंटी kAuqटI
काउंटेस kAuqटEs
काउंसलावास kAuqsalAwAs
काउंसिल kAuqsil
काउंसिल kAuqsil
काउण्टी kAuणटI
काउन्टर kAunटar
काउन्टी kAunटI
काउन्डीज kAunडIj
काउबय kAubya
काउरू kAurU
काऊ kAU
काऊं kAUq
काऋप kARp
काक kAk
काकंदि kAkaqdi
काकड़ा kAkDA
काकड़ासींगी kAkDAsIqgI
काकतंड़ी kAktaqDI
काकतालीय kAktAlIya
काकतीय kAktIya
काकपदी kAkapdI
काकपिट kAkpiट
काकपुष्ट kAkpuषट
काकब kAkab
काकबदरी kAkbadrI
काकभगौड़ा kAkBagऔDA
काकभुशुंडि kAkBuशuqडi
काकमाची kAkmAcI
काकमारी kAkmArI
काकरी kAkrI
काकरूक kAkrUk
काकरेज kAkrEj
काकरेजा kAkrEjA
काकरेजी kAkrEjI
काकल kAkal
काकली kAklI
काकलोद kAklod
काका kAkA
काकांगा kAkAqgA
काकाक्षिगोलक kAkAkषigolak
काकातुआ kAkAtuA
काकारि kAkAri
काकिणी kAkiणI
काकिनी kAkinI
काकिल kAkil
काकी kAkI
काकु kAku
काकुक kAkuk
काकुत्स्थ kAkutsथ
काकुद kAkud
काकुन kAkun
काकुल kAkul
काकेशसी kAkEशsI
काकोच्छ्वास kAkocCwAs
काकोदर kAkodar
काकोल kAkol
काकोली kAkolI
काकोलूकीय kAkolUkIya
काक्वाक्षिप्त kAkwAkषipt
काग kAg
कागज kAgaj
कागज kAgaj
कागज़ kAgaz
कागज़ kAgaz
कागज़ात kAgazAt
कागज़ी kAgazI
कागजात kAgjAt
कागजा़त kAgjAYat
कागजी kAgjI
कागद kAgad
कागपेंच kAgpEqc
कागभुसुंड kAgBusuqड
कागभुसुंडि kAgBusuqडi
कागमारी kAgmArI
कागर kAgar
कागरी kAgrI
कागल kAgal
कागला kAglA
काग़ज़ kAग़az
काग़ज़ kAGaz
कागा kAgA
कागाबासी kAgAbAsI
कागारोल kAgArol
कागिया kAgiyA
कागौर kAgऔr
कागज़ kAgaz
कागज़ kAgaz
कागज़ी kAgazI
कागज़ी kAgazI
कागज़ों kAgazoq
काच kAc
काचक kAcak
काचकृत kAckRt
काचन kAcan
काचरियों kAcriyoq
काचरी kAcrI
काचा kAcA
काचिक kAcik
काची kAcI
काचू kAcU
काचो kAco
काछ kAC
काछन kACan
काछना kACnA
काछनी kACnI
काछा kACA
काछी kACI
काछू kACU
काछे kACE
काज kAj
काज kAj
काजर kAjar
काजररानी kAjrarAnI
काजरी kAjrI
काजल kAjal
काजला kAjlA
काजी kAjI
काजु kAju
काजू kAjU
काजै kAjऐ
काट kAट
काट kAट
काटकर kAटkar
काटकी kAटkI
काटता kAटtA
काटती kAटtI
काटती kAटtI
काटते kAटtE
काटते kAटtE
काटन kAटan
काटना kAटnA
काटने kAटnE
काटने kAटnE
काटनेवाली kAटnEwAlI
काटर kAटar
काटा kAटA
काटा kAटA
काटुक kAटuk
काटू kAटU
काटे kAटE
काटेंगे kAटEqgE
काट् kAट
काट्ना kAटnA
काठ kAठ
काठ kAठ
काठक kAठak
काठड़ा kAठDA
काठनीम kAठnIm
काठबेर kAठbEr
काठबेल kAठbEl
काठा kAठA
काठिन्य kAठinya
काठिया kAठiyA
काठियावाड़ kAठiyAwAD
काठियावाड़ी kAठiyAwADI
काठी kAठI
काठू kAठU
काठों kAठoq
काड kAड
काड़ी kADI
काडेआय kAडEAya
काड्राय kAडrAya
काढना kAढnA
काढ़ kAढ़
